"resultDate","ipAddress","country","region","city","latitude","longitude","serverName","serverSponsor","browserName","browserVersion","userAgent","ispName","ispNameRaw","OS","download (Kbps)","upload (Kbps)","latency (ms)","jitter","testId"
"2023-11-23T14:07:50.000Z","186.145.189.0","Colombia","La Guajira","Riohacha",11.544,-72.907,"Cartagena","Claro Colombia","Chrome","119.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36","Claro","Telmex Colombia S.A.","Windows 10","37000.00","30920.00",38,3,"993a0800-8a09-11ee-85c9-a121116a32a6"
"2023-11-23T13:47:08.000Z","186.145.189.0","Colombia","La Guajira","Riohacha",11.544,-72.907,"Cartagena","Claro Colombia","Chrome","119.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36","Claro","Telmex Colombia S.A.","Windows 10","47019.00","31641.00",38,6,"b57d2ae0-8a06-11ee-97fe-c7861314c933"
